round,winner,results,year,gender,player1,player2,country1,country2,firstServe1,firstServe2,ace1,ace2,double1,double2,firstPointWon1,firstPointWon2,secPointWon1,secPointWon2,fastServe1,fastServe2,avgFirstServe1,avgFirstServe2,avgSecServe1,avgSecServe2,break1,break2,return1,return2,total1,total2,winner1,winner2,error1,error2,net1,net2
First,Fernando Verdasco,6-7(5) 4-6 6-6(1) ret.,2007,m,Fernando Verdasco,Paul-Henri Mathieu,ESP,FRA,61%,58%,17,5,2,4,63%,81%,67%,54%,,,,,,,17%,13%,30%,36%,120,127,50,35,61,44,74%,73%
First,Lleyton Hewitt,3-6 2-6 6-3 6-3 6-3,2007,m,Lleyton Hewitt,Michael Russell,AUS,USA,51%,76%,18,6,3,1,77%,64%,53%,41%,,,,,,,78%,67%,42%,34%,133,118,55,33,41,38,55%,68%
First,Frank Dancevic,6-3 6-3 7-6(3),2007,m,Frank Dancevic,Victor Hanescu,CAN,ROU,63%,72%,25,4,3,0,84%,64%,53%,48%,,,,,,,40%,33%,41%,28%,108,90,53,32,31,31,58%,61%
First,Paul Capdeville,4-6 6-7(4) 6-2 6-1 6-2,2007,m,Paul Capdeville,Julien Benneteau,CHI,FRA,60%,68%,14,3,8,18,62%,52%,43%,26%,,,,,,,63%,63%,56%,46%,167,135,55,52,47,80,63%,69%
First,Florian Mayer,3-6 6-4 3-6 6-4 6-0,2007,m,Florian Mayer,Robin Soderling,GER,SWE,59%,64%,12,11,0,9,74%,74%,53%,40%,,,,,,,46%,57%,38%,34%,133,126,40,45,42,56,78%,59%
First,Juan Ignacio Chela,7-6(5) 6-4 6-4,2007,m,Juan Ignacio Chela,Potito Starace,ARG,ITA,56%,67%,2,1,0,2,68%,66%,68%,44%,,,,,,,38%,50%,41%,32%,109,95,29,33,22,31,62%,59%
First,Tomas Berdych,6-1 6-2 6-2,2007,m,Tomas Berdych,Hyung-Taik Lee,CZE,KOR,47%,68%,10,4,3,3,89%,46%,56%,21%,,,,,,,88%,13%,62%,28%,90,44,37,14,18,26,67%,38%
First,David Nalbandian,6-7(5) 4-6 7-6(2) 6-0 2-1 ret.,2007,m,David Nalbandian,Janko Tipsarevic,ARG,SRB,59%,54%,20,14,10,12,73%,72%,45%,31%,,,,,,,43%,38%,43%,36%,155,133,64,53,46,46,71%,55%
First,Dmitry Tursunov,5-7 6-4 6-3 6-4,2007,m,Dmitry Tursunov,Alexander Waske,RUS,GER,53%,59%,26,24,7,7,87%,72%,63%,50%,,,,,,,50%,67%,37%,24%,125,104,49,36,22,33,52%,59%
First,Fabrice Santoro,7-6(5) 6-3 6-0,2007,m,Fabrice Santoro,Igor Kunitsyn,FRA,RUS,52%,56%,11,3,5,4,85%,57%,47%,41%,,,,,,,54%,40%,50%,34%,109,80,46,37,20,32,62%,63%
First,Ilija Bozoljac,6-2 6-4 6-1,2007,m,Ilija Bozoljac,Marin Cilic,SRB,CRO,62%,45%,4,6,2,6,82%,85%,75%,29%,,,,,,,75%,-,46%,21%,84,53,20,20,15,41,71%,40%
First,Robby Ginepri,4-6 6-2 4-6 7-5 6-3,2007,m,Robby Ginepri,Nicolas Almagro,USA,ESP,64%,55%,15,19,3,9,78%,76%,54%,47%,,,,,,,38%,43%,37%,31%,160,146,43,53,47,68,75%,54%
First,Nikolay Davydenko,6-2 7-5 6-2,2007,m,Nikolay Davydenko,Sergio Roitman,RUS,ARG,65%,62%,12,2,6,2,80%,56%,50%,49%,,,,,,,38%,50%,47%,31%,102,75,40,19,37,33,71%,67%
First,Stanislas Wawrinka,6-1 2-6 6-4 6-2,2007,m,Stanislas Wawrinka,Kevin Kim,SUI,USA,64%,64%,14,2,4,1,66%,67%,54%,27%,,,,,,,70%,29%,47%,39%,113,92,45,31,27,29,71%,67%
First,Juan Martin Del Potro,6-3 6-3 6-1,2007,m,Juan Martin Del Potro,Alessio di Mauro,ARG,ITA,69%,51%,0,5,2,4,73%,57%,77%,43%,,,,,,,60%,25%,50%,26%,88,54,37,19,23,34,78%,54%
First,Arnaud Clement,6-3 3-6 7-5 6-4,2007,m,Arnaud Clement,Xavier Malisse,FRA,BEL,55%,52%,11,14,2,2,75%,67%,56%,55%,,,,,,,55%,67%,39%,34%,122,110,31,42,35,49,66%,69%
First,Vince Spadea,6-2 7-6(3) 6-1,2007,m,Vince Spadea,Igor Andreev,USA,RUS,70%,62%,3,1,1,4,67%,57%,65%,37%,,,,,,,44%,33%,51%,34%,104,75,29,26,24,37,68%,47%
First,Wayne Arthurs,1-6 6-7(4) 7-6(5) 6-2 6-3,2007,m,Wayne Arthurs,Stefan Koubek,AUS,AUT,57%,66%,19,4,9,6,75%,64%,48%,55%,,,,,,,47%,50%,37%,35%,154,148,60,52,55,24,50%,75%
First,Jonas Bjorkman,5-7 4-6 6-0 6-1 6-2,2007,m,Jonas Bjorkman,Olivier Patience,SWE,FRA,63%,79%,3,4,5,6,74%,57%,52%,34%,,,,,,,45%,44%,48%,34%,147,113,54,31,40,42,71%,65%
First,Nicolas Mahut,6-0 6-7(0) 6-3 6-4,2007,m,Nicolas Mahut,Juan Monaco,FRA,ARG,44%,70%,10,3,8,5,78%,61%,50%,34%,,,,,,,53%,40%,47%,37%,127,106,53,23,53,44,79%,52%
First,Thomas Johansson,6-4 3-6 1-6 6-4 6-2,2007,m,Thomas Johansson,Marco Chiudinelli,SWE,SUI,60%,54%,13,7,4,2,74%,71%,43%,48%,,,,,,,75%,67%,39%,37%,130,131,41,34,57,60,60%,57%
First,Dominik Hrbaty,6-7(7) 7-6(1) 6-1 6-3,2007,m,Dominik Hrbaty,Jiri Vanek,SVK,CZE,59%,54%,9,10,10,8,77%,61%,46%,43%,,,,,,,42%,57%,47%,36%,162,134,45,37,66,69,61%,58%
First,Marat Safin,5-7 7-6(2) 3-6 6-3 6-4,2007,m,Marat Safin,Benjamin Becker,RUS,GER,66%,49%,19,14,2,6,80%,79%,57%,58%,,,,,,,25%,38%,31%,28%,160,155,43,55,50,62,55%,84%
First,Zack Fleishman,7-5 4-6 6-3 6-4,2007,m,Zack Fleishman,Agustin Calleri,USA,ARG,50%,57%,10,12,4,12,69%,69%,50%,41%,,,,,,,58%,38%,43%,41%,139,130,44,59,40,48,58%,73%
First,Danai Udomchoke,6-3 6-3 6-2,2007,m,Danai Udomchoke,Martin Vassallo Arguello,THA,ARG,60%,63%,3,7,8,4,75%,58%,38%,32%,,,,,,,50%,43%,51%,40%,104,84,27,30,35,52,93%,57%
First,Mario Ancic,6-4 6-3 6-2,2007,m,Mario Ancic,Go Soeda,CRO,JPN,64%,56%,7,0,4,5,91%,60%,56%,45%,,,,,,,38%,33%,46%,22%,100,68,33,17,28,28,79%,42%
First,Feliciano Lopez,7-6(8) 4-6 6-3 7-6(3),2007,m,Feliciano Lopez,Brian Wilson,ESP,USA,64%,65%,19,13,2,3,83%,73%,56%,47%,,,,,,,10%,33%,36%,27%,154,137,70,52,30,35,72%,61%
First,Jurgen Melzer,6-4 6-4 7-6(6),2007,m,Jurgen Melzer,Ivo Karlovic,AUT,CRO,66%,60%,1,27,4,3,79%,94%,56%,58%,,,,,,,67%,0%,20%,28%,100,99,25,47,12,29,79%,50%
First,Yen-Hsun Lu,6-3 6-4 6-3,2007,m,Yen-Hsun Lu,Simon Greul,TPE,GER,62%,58%,5,1,6,3,76%,59%,45%,48%,,,,,,,55%,50%,46%,36%,92,74,33,16,36,38,75%,76%
First,David Ferrer,7-5 6-4 6-3,2007,m,David Ferrer,Kristian Pless,ESP,DEN,63%,55%,4,6,4,4,65%,60%,54%,50%,,,,,,,50%,50%,45%,39%,110,98,26,32,39,55,76%,50%
First,Marcos Baghdatis,6-4 2-6 6-3 6-2,2007,m,Marcos Baghdatis,Rainer Schuettler,CYP,GER,43%,53%,11,2,7,6,84%,68%,47%,42%,,,,,,,70%,67%,44%,38%,112,100,38,21,39,36,58%,76%
First,Andy Roddick,6-7(18) 7-6(2) 6-3 6-3,2007,m,Andy Roddick,Jo-Wilfried Tsonga,USA,FRA,72%,68%,13,16,2,5,80%,75%,57%,49%,,,,,,,67%,14%,33%,26%,151,131,41,62,25,46,63%,67%
First,Roger Federer,7-5 6-0 6-4,2007,m,Roger Federer,Bjorn Phau,SUI,GER,71%,49%,7,3,1,3,70%,54%,52%,35%,,,,,,,47%,67%,56%,35%,111,75,29,16,29,32,75%,61%
